LEMMA,FREQUENCY,f/M,LOG F/M,,
ο,212923,157108.02,6.20,Loading...,
και,51262,37824.34,5.58,Loading...,
να,31451,23206.53,5.37,Loading...,
εγώ,30897,22797.76,5.36,Loading...,
τo,24133,17806.85,5.25,Loading...,
με,21465,15838.23,5.20,Loading...,
η,20363,15025.11,5.18,Loading...,
που,19718,14549.18,5.16,Loading...,
ένας,19153,14132.29,5.15,Loading...,
είμαι,18380,13561.92,5.13,Loading...,
από,17904,13210.70,5.12,Loading...,
για,16121,11895.09,5.08,Loading...,
σε,11074,8171.10,4.91,Loading...,
έχω,10014,7388.96,4.87,Loading...,Loading...
θα,9078,6698.32,4.83,Loading...,
μας,7851,5792.96,4.76,Loading...,
βρίσκω,5809,4286.25,4.63,Loading...,
ή,5643,4163.76,4.62,Loading...,
μπορώ,5082,3749.82,4.57,Loading...,
ποιoς,4910,3622.91,4.56,Loading...,
ποιος,4910,3622.91,4.56,Loading...,
δεν,4893,3610.36,4.56,Loading...,
τι,4570,3372.03,4.53,Loading...,
λέγω,4566,3369.08,4.53,Loading...,
άλλος,4470,3298.25,4.52,Loading...,
γίνομαι,4111,3033.36,4.48,Loading...,
κάνω,4100,3025.24,4.48,do,
μεγάλος,3833,2828.23,4.45,Loading...,
γράφω,3816,2815.69,4.45,write,
αριθμός,3690,2722.71,4.44,Loading...,
παιδί,3631,2679.18,4.43,Loading...,
ότι,3615,2667.38,4.43,Loading...,
κάθε,3386,2498.40,4.40,Loading...,
όταν,3129,2308.77,4.36,Loading...,
αν,3038,2241.63,4.35,Loading...,
άνθρωπος,3016,2225.40,4.35,Loading...,
όλος,2814,2076.35,4.32,Loading...,
δύο,2813,2075.61,4.32,Loading...,
πολύς,2648,1953.86,4.29,Loading...,
λέξη,2606,1922.87,4.28,Loading...,
πώς,2470,1822.52,4.26,Loading...,
πολύ,2453,1809.98,4.26,Loading...,
οποίος,2447,1805.55,4.26,Loading...,
βλέπω,2444,1803.34,4.26,Loading...,
χρησιµοποιώ,2397,1768.66,4.25,Loading...,
μικρός,2363,1743.57,4.24,Loading...,
χρησιμοποιώ,2363,1743.57,4.24,Loading...,
όλο,2318,1710.37,4.23,Loading...,
κάποιος,2280,1682.33,4.23,Loading...,
χρόνος,2185,1612.23,4.21,Loading...,
παίρνω,2161,1594.52,4.20,Loading...,
γιατί,2140,1579.03,4.20,Loading...,
όπως,2104,1552.46,4.19,Loading...,
πρώτος,2083,1536.97,4.19,Loading...,
υπάρχω,2080,1534.76,4.19,Loading...,
θέλω,2066,1524.43,4.18,Loading...,
πιο,2032,1499.34,4.18,Loading...,
